"clubs",    9827, null
"hearts",   9829, null
"diams",    9830, null
"quot",    34, null
"amp",     38, null
"lt",      60, null
"gt",      62, null
null,      149, (int)'•'
"OElig",   338, (int)'Œ'
"oelig",   339, (int)'œ'
"Scaron",  352, null
"scaron",  353, null
"Yuml",    376, null
"circ",    710, null
"tilde",   732, (int)'~'
"ensp",    8194, null
"emsp",    8195, null
"thinsp",  8201, null
"zwnj",    8204, null
"zwj",     8205, null
"lrm",     8206, null
"rlm",     8207, null
"ndash",   8211, (int)'-'
"mdash",   8212, (int)'-'
"lsquo",   8216, (int)'\''
"rsquo",   8217, (int)'\''
"sbquo",   8218, (int)'\''
"ldquo",   8220, (int)'"'
"rdquo",   8221, (int)'"'
"bdquo",   8222, (int)'"'
"dagger",  8224, null
"Dagger",  8225, null
"permil",  8240, null
"lsaquo",  8249, null
"rsaquo",  8250, null
"euro",    8364, null
